name_clean,geometry
,"LINESTRING (31.9957033 36.5426008, 31.9961525 36.542382, 31.9964879 36.5422023, 31.9966668 36.5421099, 31.9972441 36.541812, 31.9977129 36.5415812)"
,"LINESTRING (31.9988268 36.5362834, 31.9987008 36.5364173, 31.9985829 36.5365316, 31.9983159 36.5365955, 31.9980901 36.5365519, 31.9979934 36.5364173, 31.9976316 36.5362866, 31.997351 36.5359502, 31.9967656 36.5356921, 31.9963469 36.5354667, 31.9959232 36.5353154, 31.995541 36.535304, 31.9953003 36.5355002, 31.9948756 36.5356509, 31.994679 36.535762, 31.9946954 36.5363029, 31.9946626 36.5363689, 31.9944843 36.5364312, 31.9944909 36.5365002, 31.9943653 36.5366692, 31.9935944 36.5364727, 31.9933139 36.5364451)"
,"LINESTRING (31.9933139 36.5364451, 31.9932733 36.5365247, 31.993152 36.5367628, 31.9929473 36.537003, 31.9927627 36.5370557, 31.9923077 36.5368743, 31.9915488 36.5363561, 31.9915276 36.5362026, 31.9916373 36.5360234, 31.9918638 36.5355514, 31.9918532 36.5351362, 31.9914992 36.5349315, 31.9913187 36.5347523, 31.9912303 36.5344651, 31.9908657 36.5339703, 31.9906074 36.5339816, 31.9903986 36.5340215, 31.9902417 36.533997, 31.9897038 36.5339131, 31.989285 36.533789, 31.9881976 36.5332564)"
,"LINESTRING (31.9933139 36.5364451, 31.9933139 36.5360094, 31.9932769 36.5358534, 31.9932584 36.5354177, 31.9933385 36.5351974, 31.9936251 36.5348285, 31.9938993 36.534472, 31.9945797 36.5339165, 31.9950756 36.5336355, 31.9954049 36.533335, 31.9959619 36.5326392, 31.9962319 36.5321641, 31.9962587 36.5321623, 31.9968279 36.5318617, 31.9970611 36.531574, 31.9974417 36.5313685, 31.9979255 36.5309471, 31.998322 36.5311222, 31.9986492 36.5312084, 32.0002881 36.5309328)"
,"LINESTRING (31.9796587 36.5563864, 31.9779571 36.55629, 31.9746945 36.5560894, 31.9722558 36.5563299, 31.9699796 36.5566057, 31.9686153 36.5567392, 31.9680651 36.555546)"
,"LINESTRING (31.9796587 36.5563864, 31.979783 36.5570948, 31.9797993 36.5574067, 31.9816725 36.5571002, 31.9819788 36.5571039, 31.9823663 36.5570982, 31.9842526 36.5571134, 31.9846188 36.557131, 31.9845558 36.5578699, 31.9845713 36.5579584, 31.9846382 36.558132, 31.9846494 36.5587544, 31.9846937 36.5589512, 31.9846692 36.5611827, 31.9847819 36.5615128, 31.9832274 36.5630192, 31.9831127 36.5636909, 31.9828724 36.5634945, 31.9826658 36.5638877, 31.9829059 36.5641016, 31.9826953 36.5649186, 31.9786456 36.5714891, 31.9811331 36.5716237, 31.9826102 36.5722449, 31.983966 36.5720986, 31.9866844 36.5708871, 31.9870055 36.5711929, 31.9879611 36.5712857, 31.9881839 36.5714595, 31.9888911 36.571166, 31.9890052 36.5711516, 31.9890263 36.5710487, 31.9899427 36.5705742, 31.9905299 36.569677, 31.991198 36.569085, 31.9910769 36.5689369, 31.9926016 36.5689965, 31.9941501 36.5694197, 31.9962781 36.5701046, 31.9973928 36.5703774, 31.9983367 36.5705265, 31.9993173 36.570494, 31.9999459 36.5699953, 32.0002802 36.5698149, 32.0011522 36.5689327)"
,"LINESTRING (31.9919618 36.5540073, 31.9916769 36.5544917, 31.9914033 36.5548322, 31.991127 36.5549895, 31.9891503 36.5559913, 31.9885561 36.556321, 31.9883629 36.5565075, 31.9880955 36.5568357)"
,"LINESTRING (31.9982119 36.5513677, 31.9980328 36.5512059, 31.9979868 36.5510609, 31.9979903 36.5508477, 31.998054 36.5506146, 31.998463 36.5494288, 31.9983885 36.5492538, 31.9983269 36.5491262, 31.9983382 36.548926, 31.9982685 36.5487442, 31.9981788 36.5486591, 31.9980167 36.5485874, 31.9978808 36.5484814, 31.9978076 36.5483611, 31.9975626 36.5483001, 31.9973791 36.5483005, 31.9972719 36.5482689, 31.9971294 36.5481068, 31.9970388 36.5480602, 31.996833 36.5479988, 31.9967587 36.547996, 31.9966348 36.547851, 31.9964968 36.5475866, 31.9964366 36.5472283, 31.9963977 36.5469753, 31.9963446 36.5467848, 31.9964826 36.5461336, 31.9966348 36.5454114, 31.9969533 36.5449622, 31.9971905 36.5446579, 31.9973603 36.5444731, 31.9974134 36.5442599, 31.9975019 36.5438305, 31.9975371 36.5434527, 31.9975289 36.5426819, 31.9974354 36.5422279, 31.9977129 36.5415812)"
,"LINESTRING (31.9977129 36.5415812, 31.9979169 36.5413776, 31.998173 36.5412992, 31.9983641 36.5412208, 31.9986406 36.5412584, 31.9991772 36.5416209, 32.0006966 36.5426413, 32.0009776 36.5428076, 32.0015747 36.5431636, 32.0017206 36.5433034)"
,"LINESTRING (31.9986629 36.555355, 31.9988821 36.5550783, 31.9989352 36.5548523, 31.9989883 36.5546263, 31.9990343 36.5542709, 31.9989989 36.5542311, 31.998852 36.5542282)"
