name_clean,geometry
alemdar-kükürtlü mahalle sınırı,"LINESTRING (29.0387601 40.2007497, 29.0377696 40.2009637, 29.0367595 40.2013173, 29.036211 40.2015505, 29.0353351 40.2019837, 29.0345329 40.2025652, 29.0334827 40.2032559, 29.0325073 40.2037613)"
anadolu-vatan mahalle sınırı,"LINESTRING (29.0853833 40.1980648, 29.0869952 40.1975363, 29.0871164 40.1976081, 29.08745 40.1979393, 29.0878924 40.197784, 29.0878207 40.1975452, 29.0877361 40.1971373, 29.0877478 40.1967963, 29.0880617 40.1966348, 29.0886479 40.1964109, 29.089156 40.1962417, 29.0895924 40.1961522, 29.0900223 40.1960925, 29.0904912 40.1960179, 29.0910123 40.1958835, 29.0915985 40.1956447, 29.0918916 40.1955203)"
vatan-kazım karabekir mahalle sınırı,"LINESTRING (29.0918916 40.1955203, 29.0921564 40.1960563, 29.0925149 40.1966882, 29.0925811 40.1969789, 29.092719 40.1972949, 29.0928568 40.1974212, 29.0929337 40.1984636, 29.0930604 40.1986088, 29.0933455 40.1987878, 29.0935862 40.1989717, 29.0940487 40.1997169, 29.0950244 40.199354, 29.0952144 40.1996589, 29.0956452 40.1999492, 29.0954678 40.2001186, 29.0957276 40.2003073, 29.095905 40.2002831, 29.0961267 40.2004137, 29.0962408 40.2007912, 29.0958986 40.201067, 29.0959493 40.2025186, 29.0962344 40.2030025, 29.0968553 40.2027944, 29.0972037 40.2037476, 29.0963611 40.2040767, 29.0962661 40.2043912, 29.096868 40.2052766, 29.09479 40.2060847)"
anadolu-kazım karabekir mahalle sınırı,"LINESTRING (29.0918916 40.1955203, 29.0921163 40.1954641, 29.092322 40.1954339, 29.0925513 40.1954792, 29.0931049 40.195591, 29.0936664 40.1956937)"
anadolu-duaçınarı mahhallesi sınırı,"LINESTRING (29.0936664 40.1956937, 29.0936664 40.193975, 29.0946036 40.193818, 29.0955012 40.1936609, 29.0951676 40.1933365, 29.0948419 40.1930032, 29.0945683 40.1927395, 29.0941515 40.192441, 29.0939105 40.1922171, 29.0938063 40.1920927, 29.0937216 40.1917444)"
anadolu-davutdede mahalle sınırı,"LINESTRING (29.081443 40.1916694, 29.0902542 40.1917591)"
anadolu-şükraniye mahelle sınırı,"LINESTRING (29.0902542 40.1917591, 29.0937216 40.1917444)"
şükraniye-davutdede mahalle sınırı,"LINESTRING (29.0902542 40.1917591, 29.0902631 40.1912893, 29.085135 40.1905449, 29.0852529 40.1902219, 29.0852773 40.1899052, 29.0852895 40.1895387, 29.0852326 40.1891878, 29.0848829 40.1878896, 29.0847366 40.187315, 29.0846715 40.1867001)"
yıldırım-selimzade mahalle sınırı,"LINESTRING (29.0772947 40.1873033, 29.0779319 40.1868382, 29.078876 40.1863136, 29.0797558 40.1859694, 29.0808823 40.1856743)"
yıldırım-hacıseyfettin mahalle sınırı,"LINESTRING (29.0808823 40.1856743, 29.0818372 40.1855267, 29.0828457 40.1855186, 29.0840258 40.1855677)"
yıldırım-sinandede mahalle sınırı,"LINESTRING (29.0840258 40.1855677, 29.0845945 40.1856579, 29.0845699 40.1859077, 29.0845583 40.1862544, 29.0846715 40.1867001)"
yıldırım-davutdede mahalle sınırı,"LINESTRING (29.080573 40.1905677, 29.0815489 40.1900564, 29.0817707 40.1898117, 29.0819618 40.1895669, 29.0822576 40.1895245, 29.0825348 40.1894774, 29.0827074 40.189388, 29.0837257 40.1878219, 29.0828676 40.1875568, 29.082878 40.1873964, 29.0830284 40.1873125, 29.0831219 40.187269, 29.0835082 40.1868963, 29.0836098 40.1867472, 29.08387 40.1867566, 29.0840448 40.1867007, 29.0846715 40.1867001)"
şükraniye-sinandede mahalle sınırı,"LINESTRING (29.0846715 40.1867001, 29.0851161 40.1867134, 29.0855276 40.1867751, 29.0858353 40.1868838, 29.0860315 40.1870542, 29.0862122 40.1872864, 29.0864315 40.187492, 29.0866507 40.1876096, 29.0870276 40.1877183, 29.0875661 40.1878182, 29.0882584 40.1879445, 29.0886622 40.1879445, 29.0891315 40.1879563, 29.0895853 40.1879915, 29.0896321 40.1879981, 29.0904199 40.1881091, 29.0908137 40.1879358, 29.091098 40.1877924, 29.0915379 40.1876817, 29.092305 40.1873088, 29.0927341 40.1870547, 29.0930828 40.1868006, 29.0932545 40.1865548, 29.0938272 40.1865194)"
hacıseyfettin-sinandede mahalle sınırı,"LINESTRING (29.0840258 40.1855677, 29.0839572 40.1848941, 29.0839749 40.1844553)"
hacıseyfettin-davutkadı mahalle sınırı,"LINESTRING (29.0847392 40.1823241, 29.0847165 40.1824802, 29.0845802 40.1829105, 29.084453 40.1829626, 29.0841984 40.183166, 29.0843165 40.1832753, 29.0841005 40.1835346, 29.084009 40.1839785, 29.0839749 40.1844553)"
hacıseyfettin-emirsultan mahalle sınırı,"LINESTRING (29.0804877 40.1834579, 29.0808364 40.1834784, 29.081067 40.1830603, 29.081641 40.1830685, 29.0821775 40.1830603, 29.08273 40.1829169, 29.0831162 40.1826669, 29.0832129 40.182383, 29.0840173 40.1824079, 29.0840505 40.1822789, 29.0844303 40.182272, 29.0847392 40.1823241)"
hacıseyfettin-hocataşkın mahalle sınırı,"LINESTRING (29.0804877 40.1834579, 29.0799628 40.1835438, 29.0792398 40.1836525, 29.0782474 40.1836907)"
meydancık-hacıseyfettin mahalle sınırı,"LINESTRING (29.0782474 40.1836907, 29.0783397 40.1839786, 29.0782513 40.1842372, 29.0785964 40.1842282, 29.0790359 40.1842167, 29.0790474 40.1844576)"
selimzede-meydancık mahalle sınırı,"LINESTRING (29.0790474 40.1844576, 29.0783551 40.1845164, 29.0779705 40.184584, 29.0775321 40.1846045, 29.0770782 40.1845458, 29.076338 40.1843992, 29.0762788 40.1845726, 29.0760878 40.1844782, 29.0757628 40.184628, 29.0754744 40.1849072, 29.0750775 40.1851547)"
hacıseyfettin-selimzade mahalle sınırı,"LINESTRING (29.0790474 40.1844576, 29.0790512 40.184607, 29.079505 40.1845835, 29.0795127 40.1854562, 29.0808823 40.1856743)"
meydancık-yeşil mahalle sınırı,"LINESTRING (29.0739043 40.1840573, 29.0740408 40.1837901, 29.0743137 40.1836065, 29.07472 40.1833211, 29.0753084 40.1830285, 29.0758688 40.1818404)"
yeşil-hocataşkı mahalle sınırı,"LINESTRING (29.0758688 40.1818404, 29.0760509 40.1814194, 29.076205 40.181059, 29.0760276 40.1809984, 29.0761536 40.1807451, 29.0760556 40.1806309, 29.0764214 40.180449, 29.0770332 40.180267)"
meydancık-hocataşkın mahalle sınırı,"LINESTRING (29.0758688 40.1818404, 29.0761151 40.1818544, 29.0764363 40.1818233, 29.0767534 40.1817923, 29.0770501 40.1818171, 29.0774689 40.1818761, 29.0780828 40.181988, 29.0781316 40.1821743, 29.0781275 40.1823327, 29.0780787 40.1825688, 29.0781234 40.1829104, 29.0781438 40.1831807, 29.0781519 40.1833732, 29.0782474 40.1836907)"
hocataşkın-emirsultan mahalle sınırı,"LINESTRING (29.0804877 40.1834579, 29.0795349 40.1818157, 29.0790548 40.1814489, 29.0789314 40.1812542, 29.078816 40.1809468, 29.0787249 40.1806353, 29.0785666 40.1804714, 29.0781804 40.1803382, 29.0777727 40.1802255)"
hocataşkın-karamazak mahalle sınırı,"LINESTRING (29.0770332 40.180267, 29.0772667 40.1802206, 29.0775095 40.1802028, 29.0777727 40.1802255)"
şükraniye-mehmet akif ersoy mahalle sınırı,"LINESTRING (29.0938272 40.1865194, 29.0950974 40.1863839)"
şükraniye-beyazıt mahallı sınırı,"LINESTRING (29.0950974 40.1863839, 29.0952749 40.1870831, 29.095415 40.1872187, 29.0956485 40.1881677, 29.0958072 40.1884388, 29.0962089 40.1892236, 29.096461 40.1898872, 29.0966011 40.1906221, 29.0967226 40.1917351)"
