name_clean,geometry
,"LINESTRING (33.3573088 39.0712434, 33.3903367 39.0958908, 33.3919768 39.0980959, 33.3926875 39.1008477, 33.3921226 39.10185, 33.3918492 39.1032715, 33.3897899 39.1057135, 33.3897535 39.1064972, 33.3939268 39.1081738, 33.3997767 39.1121648, 33.4075583 39.1120555, 33.4092349 39.1113265, 33.4108387 39.1097775, 33.4122055 39.1098139, 33.4173446 39.1041098, 33.4218277 39.1020505, 33.425509 39.0988613, 33.4316505 39.0947609, 33.4342383 39.0938497, 33.4376097 39.0938315, 33.4398331 39.0927198, 33.4428765 39.0910979, 33.444462 39.0900956, 33.4459017 39.0886559, 33.4466671 39.0877447, 33.4501296 39.0855213, 33.4508586 39.0847012, 33.4528268 39.087125, 33.4519338 39.0919362, 33.4516058 39.0956539, 33.4531548 39.0970753, 33.4524258 39.1023968, 33.4548132 39.1064607)"
,"LINESTRING (33.4590499 39.0084894, 33.4588516 39.0087634, 33.3810404 38.9989754)"
,"LINESTRING (33.5286412 38.9519424, 33.5285354 38.9520836, 33.5271943 38.9539275, 33.5269425 38.9542735)"
,"LINESTRING (33.5324674 38.9476279, 33.5312605 38.9488712, 33.5300589 38.9501896, 33.529458 38.9508529, 33.5286412 38.9519424)"
,"LINESTRING (33.2133329 39.0370197, 33.2146418 39.039703, 33.2165193 39.0436195, 33.2170665 39.0448694, 33.2186329 39.0481523, 33.2186866 39.048319, 33.2195985 39.050252, 33.2199633 39.0510686, 33.2207036 39.0528599, 33.2213581 39.0543929, 33.2217336 39.055326, 33.2226455 39.0574255, 33.2232785 39.0589584, 33.2239437 39.0601913, 33.2241797 39.0607578, 33.2250702 39.0622407, 33.2268619 39.0656478, 33.2272696 39.0664641, 33.227613 39.0671805, 33.2288468 39.0695212, 33.2292867 39.0710455, 33.2293832 39.0714203, 33.22963 39.0720367, 33.2313895 39.0753517, 33.2321298 39.0769092, 33.2333636 39.0797326, 33.2343078 39.0816815, 33.2350266 39.0829973, 33.2355469 39.0842049, 33.2360566 39.0851126, 33.2359949 39.0851647)"
,"LINESTRING (33.1081098 39.1251082, 33.1081581 39.1251581, 33.1083083 39.1255701, 33.1084746 39.1255451, 33.1101268 39.1253287, 33.1110549 39.1251789, 33.1109852 39.1245921, 33.1108564 39.1235642, 33.1107813 39.1222824, 33.1106847 39.1214293, 33.1123209 39.1213252, 33.1123102 39.1212378, 33.1147456 39.1211379, 33.1146491 39.1203347, 33.1147778 39.1192152, 33.1150514 39.1192901, 33.1159794 39.1192901, 33.1159741 39.1184119, 33.1177121 39.1183412, 33.1185597 39.1183287, 33.1200832 39.1183287, 33.1207859 39.1182579, 33.1208718 39.118774, 33.1209201 39.119057, 33.1213653 39.1190237, 33.1216174 39.1189987, 33.1218642 39.1189987, 33.1220573 39.1189946, 33.122642 39.1189738, 33.1228244 39.118749, 33.1228888 39.118903, 33.123039 39.1189987, 33.1231624 39.1190362, 33.1234896 39.1190612, 33.1244552 39.1191111, 33.1251633 39.1191028, 33.1255013 39.1190528, 33.1256676 39.1190487, 33.1257909 39.1190279, 33.1263381 39.1190778, 33.1267458 39.119107, 33.127234 39.1191569, 33.1276363 39.1191944, 33.1278294 39.1191611, 33.1280976 39.1191735, 33.1285697 39.1194441, 33.1289828 39.1196397, 33.1292832 39.1196771, 33.1298518 39.1193858, 33.1302595 39.1192693, 33.1306243 39.1191944, 33.131032 39.1193317, 33.1322014 39.1197687, 33.1332314 39.1201516, 33.133918 39.1205053, 33.1344813 39.1208424, 33.135184 39.1211754, 33.1354362 39.1213419, 33.1361711 39.1218579, 33.1368846 39.1224572, 33.1374156 39.1227943, 33.1378984 39.1230773, 33.1384563 39.1234394, 33.1388104 39.1236599, 33.1397009 39.1240678, 33.1402159 39.1243092, 33.140645 39.1245339, 33.1409347 39.1247919, 33.1416321 39.1251165, 33.1422114 39.1253828, 33.1436598 39.1260736, 33.1443357 39.1266729, 33.1457949 39.1275718, 33.1465673 39.1280378, 33.1470609 39.1282709, 33.1480265 39.1288202, 33.1487238 39.1291697, 33.1491744 39.1294277, 33.1497109 39.1297357, 33.150537 39.130285, 33.150934 39.1306428, 33.1513953 39.1310423, 33.1518352 39.1312337, 33.1524789 39.1315833, 33.1534231 39.1321825, 33.1542921 39.1328066, 33.1551719 39.1333725, 33.1556868 39.1338386, 33.1562126 39.134238, 33.1564808 39.134496, 33.1569528 39.1347623, 33.1572425 39.1349454, 33.1576395 39.13527, 33.1579506 39.1355529, 33.1582832 39.1359607, 33.1590021 39.1363102, 33.1595063 39.1365432, 33.1600428 39.1368178, 33.1608903 39.137367, 33.1617486 39.1376583, 33.1619418 39.1378663, 33.1622958 39.1382242, 33.1628913 39.1388358)"
yeşilova mahallesi,"POLYGON ((33.3810404 38.9989754, 33.4588516 39.0087634, 33.4590499 39.0084894, 33.4619522 39.0044782, 33.465541 38.9994756, 33.4667265 38.9978622, 33.4679496 38.9962279, 33.4690869 38.9950105, 33.4700203 38.9941391, 33.4716081 38.9930217, 33.4960484 38.9761547, 33.4982425 38.9745825, 33.500002 38.9734523, 33.5022122 38.9719592, 33.5041058 38.970658, 33.5064232 38.9690981, 33.508569 38.9676258, 33.5103929 38.9663746, 33.5119164 38.9652943, 33.5134131 38.9643016, 33.5153925 38.9629377, 33.5168785 38.9619199, 33.5191798 38.960364, 33.5210466 38.959025, 33.5227364 38.9578904, 33.5243994 38.9567391, 33.5252738 38.9560633, 33.5257727 38.9556211, 33.5267329 38.9545615, 33.5269425 38.9542735, 33.5271943 38.9539275, 33.5285354 38.9520836, 33.5286412 38.9519424, 33.529458 38.9508529, 33.5300589 38.9501896, 33.5312605 38.9488712, 33.5324674 38.9476279, 33.5332239 38.9468645, 33.5339963 38.9459633, 33.5344523 38.9453918, 33.5352302 38.9443571, 33.5359007 38.9432848, 33.5365713 38.9421624, 33.5375208 38.9405894, 33.5391061 38.9380891, 33.5388297 38.9380192, 33.538878 38.937919, 33.5386312 38.9379566, 33.5375529 38.9380818, 33.5364962 38.9375977, 33.5348171 38.9368091, 33.5346937 38.936734, 33.5341573 38.9365796, 33.5335994 38.9365546, 33.5295439 38.9365045, 33.5255635 38.9367549, 33.5223663 38.9369552, 33.5209393 38.9371388, 33.5183537 38.9375894, 33.5140622 38.9383572, 33.509202 38.9392084, 33.5044491 38.9400679, 33.4997392 38.940869, 33.4950936 38.9416784, 33.4923255 38.9421708, 33.4890318 38.9427883, 33.4853518 38.9434141, 33.4800839 38.9443404, 33.4760606 38.9450496, 33.4705031 38.9459842, 33.4662759 38.9467602, 33.4604609 38.9477865, 33.4559226 38.9485709, 33.4500646 38.9496305, 33.4458053 38.9503481, 33.4388208 38.9515913, 33.4340036 38.9524257, 33.4296477 38.9531849, 33.4202599 38.9569727, 33.4147453 38.9559716, 33.4038019 38.9580239, 33.3902621 38.9605267, 33.3883556 38.9607563, 33.38876 38.9669836, 33.3890927 38.971513, 33.3868933 38.9858084, 33.3810404 38.9989754))"
tuzla mahallesi,"POLYGON ((33.3603715 38.8919681, 33.3640325 38.9092728, 33.3658217 38.9150789, 33.3692549 38.920822, 33.3872794 38.9453919, 33.3883556 38.9607563, 33.3902621 38.9605267, 33.4038019 38.9580239, 33.4147453 38.9559716, 33.4202599 38.9569727, 33.4296477 38.9531849, 33.4340036 38.9524257, 33.4388208 38.9515913, 33.4458053 38.9503481, 33.4500646 38.9496305, 33.4559226 38.9485709, 33.4604609 38.9477865, 33.4662759 38.9467602, 33.4705031 38.9459842, 33.4760606 38.9450496, 33.4800839 38.9443404, 33.4853518 38.9434141, 33.4890318 38.9427883, 33.4923255 38.9421708, 33.4950936 38.9416784, 33.4997392 38.940869, 33.5044491 38.9400679, 33.509202 38.9392084, 33.5140622 38.9383572, 33.5183537 38.9375894, 33.5209393 38.9371388, 33.5223663 38.9369552, 33.5255635 38.9367549, 33.5295439 38.9365045, 33.5335994 38.9365546, 33.5341573 38.9365796, 33.5346937 38.936734, 33.5346991 38.9365713, 33.5345864 38.9364628, 33.5345113 38.9363877, 33.5344148 38.9362875, 33.5342485 38.9360872, 33.5341304 38.9358703, 33.5339963 38.9355072, 33.5338944 38.9352277, 33.5337657 38.935019, 33.5335994 38.9347812, 33.5332239 38.9344015, 33.5331219 38.9342053, 33.5329503 38.9340301, 33.5328323 38.9337296, 33.5325855 38.9332205, 33.5323763 38.9327281, 33.5323173 38.9323317, 33.5323387 38.9316015, 33.5324085 38.931326, 33.5326445 38.9310214, 33.5319525 38.929878, 33.5315824 38.929348, 33.5313034 38.9288723, 33.5310298 38.928167, 33.530708 38.9270403, 33.5300857 38.9253584, 33.530032 38.9248534, 33.5300857 38.9240396, 33.530091 38.9236515, 33.5301071 38.923134, 33.5301876 38.922821, 33.5304719 38.9224704, 33.5309064 38.9219779, 33.5312498 38.9216733, 33.5298443 38.9209554, 33.5290182 38.9203962, 33.5282886 38.9197117, 33.5275376 38.9189771, 33.5268724 38.9182509, 33.5263359 38.9176958, 33.5255957 38.9170154, 33.5249734 38.915972, 33.5245335 38.9153793, 33.5237396 38.9147949, 33.5210681 38.9128832, 33.5191369 38.9112887, 33.5177314 38.9098194, 33.5154263 38.9072085, 33.5151141 38.9066779, 33.4649562 38.9015206, 33.3603715 38.8919681))"
hacıbektaşlı mahallesi,"POLYGON ((33.3102517 39.0760598, 33.3143233 39.0779754, 33.3193014 39.0790415, 33.322048 39.0811736, 33.3222197 39.0834388, 33.3239363 39.0853043, 33.3253096 39.0870364, 33.3247946 39.0891683, 33.3229063 39.0901009, 33.3229063 39.0952969, 33.3213614 39.0963627, 33.328745 39.0981247, 33.3573088 39.0712434, 33.3903367 39.0958908, 33.3919768 39.0980959, 33.3926875 39.1008477, 33.3921226 39.10185, 33.3918492 39.1032715, 33.3897899 39.1057135, 33.3897535 39.1064972, 33.3939268 39.1081738, 33.3997767 39.1121648, 33.4075583 39.1120555, 33.4092349 39.1113265, 33.4108387 39.1097775, 33.4122055 39.1098139, 33.4173446 39.1041098, 33.4218277 39.1020505, 33.425509 39.0988613, 33.4316505 39.0947609, 33.4342383 39.0938497, 33.4376097 39.0938315, 33.4398331 39.0927198, 33.4428765 39.0910979, 33.444462 39.0900956, 33.4459017 39.0886559, 33.4466671 39.0877447, 33.4501296 39.0855213, 33.4508586 39.0847012, 33.4528268 39.087125, 33.4519338 39.0919362, 33.4516058 39.0956539, 33.4531548 39.0970753, 33.4524258 39.1023968, 33.4548132 39.1064607, 33.4609 39.1035995, 33.4620299 39.1046019, 33.4647453 39.1057864, 33.4670415 39.106406, 33.4699756 39.1058593, 33.4725269 39.1043649, 33.4755339 39.1029981, 33.4800534 39.1015767, 33.4859033 39.100301, 33.4894753 39.0976038, 33.4926827 39.09436, 33.4943593 39.0891297, 33.4913159 39.083134, 33.4967649 39.0830611, 33.4977125 39.0816943, 33.4993709 39.0800541, 33.5010475 39.0809289, 33.5000998 39.0824415, 33.5018129 39.0839723, 33.5058586 39.0857582, 33.5092847 39.0856307, 33.5100866 39.0824232, 33.5118179 39.0796532, 33.5126926 39.0771383, 33.5171393 39.0754981, 33.5171757 39.0721449, 33.5161734 39.0700674, 33.5161188 39.0670604, 33.5190346 39.0669693, 33.518907 39.064509, 33.5215495 39.0637801, 33.5234813 39.063853, 33.5263424 39.0640717, 33.5278186 39.0617208, 33.5291489 39.0616114, 33.5300966 39.0605909, 33.5310078 39.059789, 33.5385707 39.0511326, 33.5386072 39.0519709, 33.5394455 39.053356, 33.5405207 39.0540667, 33.5421973 39.0576021, 33.5420151 39.0622128, 33.5430538 39.0648917, 33.5454776 39.0639441, 33.5467715 39.0616297, 33.5498878 39.0567456, 33.5461519 39.0559984, 33.5463615 39.0554426, 33.5465711 39.0552148, 33.5474367 39.0526725, 33.5484208 39.0526543, 33.5483115 39.0511053, 33.5491224 39.047907, 33.5497967 39.0457019, 33.5483844 39.0455196, 33.5489311 39.0441619, 33.5494414 39.0429774, 33.5499881 39.0415377, 33.5508173 39.0407085, 33.5505075 39.0404078, 33.5494869 39.0383029, 33.5489675 39.0373735, 33.5492682 39.0352777, 33.548521 39.0297376, 33.5523481 39.0293914, 33.5530406 39.0275325, 33.5531317 39.0267398, 33.5526943 39.0192042, 33.5512 39.0195869, 33.5483752 39.020899, 33.5470449 39.0139556, 33.5468991 39.0128987, 33.5460061 39.0096548, 33.5454959 39.0059553, 33.5437463 39.0059371, 33.5422155 39.0050988, 33.5416141 39.0043334, 33.540466 39.0023287, 33.5398464 39.0014358, 33.539081 38.9997774, 33.5362836 38.9968342, 33.5357916 38.9961326, 33.5346526 38.9962784, 33.531436 38.9956952, 33.5272445 38.9949116, 33.5116357 38.9978638, 33.5082915 38.9991942, 33.5045647 38.9990211, 33.493275 38.9977818, 33.4905687 39.0015086, 33.4801172 39.0054815, 33.4788689 39.0058186, 33.4745498 39.005445, 33.4645448 39.005117, 33.4608864 39.0094133, 33.4590499 39.0084894, 33.4588516 39.0087634, 33.3810404 38.9989754, 33.3770935 39.0078648, 33.3630538 39.0279606, 33.3470571 39.0435278, 33.3282173 39.0558425, 33.3195698 39.0595499, 33.3162546 39.0747104, 33.3105791 39.0759847, 33.3102517 39.0760598))"
gölyazı mahallesi,"POLYGON ((33.0214104 38.6229904, 33.0214592 38.6243003, 33.0216218 38.6244422, 33.0217968 38.6243922, 33.0228507 38.6237695, 33.0233418 38.623505, 33.0238775 38.6231086, 33.0244048 38.6228316, 33.0247885 38.6226416, 33.0252885 38.6224724, 33.0257637 38.6222294, 33.0262526 38.6219004, 33.0269535 38.6212631, 33.0271353 38.6213861, 33.032677 38.6182622, 33.0327543 38.6184508, 33.0329525 38.6198702, 33.0328123 38.6201493, 33.034152 38.6202506, 33.0341953 38.6198769, 33.0367561 38.6180784, 33.0364548 38.6179062, 33.0367108 38.6164113, 33.0387003 38.6171672, 33.0415887 38.618413, 33.0428205 38.6192474, 33.0420905 38.6206108, 33.0422735 38.6209762, 33.0403615 38.6219825, 33.0404153 38.6228577, 33.0356046 38.6252965, 33.0362032 38.628542, 33.0271648 38.6296002, 33.0288836 38.6346515, 33.0287684 38.636755, 33.0279563 38.6382176, 33.0292887 38.6382939, 33.0300308 38.6378111, 33.0312796 38.6380465, 33.0337051 38.6421638, 33.0324121 38.6469066, 33.0402417 38.6443748, 33.0555142 38.6377443, 33.0568355 38.6380429, 33.0581889 38.6381906, 33.0600652 38.6384426, 33.0617122 38.6385985, 33.0632435 38.6386857, 33.0655764 38.6385126, 33.0674308 38.6383429, 33.0695391 38.6380012, 33.0725594 38.6373654, 33.0737181 38.638128, 33.0711653 38.639465, 33.0691506 38.6403597, 33.0728229 38.6453935, 33.0728887 38.6454422, 33.0720456 38.6460163, 33.0716215 38.6462582, 33.0712474 38.6466205, 33.0705221 38.6472238, 33.0697164 38.6480533, 33.0689199 38.6489417, 33.0685967 38.6492695, 33.0692129 38.6498824, 33.0699491 38.6507448, 33.0704446 38.6516624, 33.0706994 38.652381, 33.0708368 38.6527397, 33.069603 38.6529995, 33.0700322 38.6541809, 33.0727358 38.6539881, 33.0733044 38.6556136, 33.0715449 38.6559487, 33.0721135 38.6615116, 33.0690987 38.6626677, 33.0685408 38.6647034, 33.0683048 38.6659098, 33.0681224 38.6675516, 33.068734 38.6678448, 33.0679615 38.6689171, 33.0636378 38.6733566, 33.063906 38.673633, 33.063037 38.674479, 33.0631979 38.6747052, 33.0612743 38.676979, 33.0621863 38.6773894, 33.0590374 38.6798353, 33.0590535 38.6799356, 33.0546976 38.6819038, 33.0556202 38.6831349, 33.0558134 38.683294, 33.0562747 38.683093, 33.0566395 38.6835202, 33.0518866 38.6857646, 33.0513609 38.6850444, 33.048743 38.6860578, 33.0464685 38.6866021, 33.044709 38.6872386, 33.047205 38.6910431, 33.0503435 38.6904719, 33.0519078 38.690119, 33.0540424 38.6897909, 33.0560167 38.6893714, 33.0615613 38.6878032, 33.0625963 38.6875195, 33.0637815 38.6870123, 33.0658029 38.6859119, 33.0675591 38.6847126, 33.0696301 38.6867655, 33.0708172 38.6877302, 33.0745574 38.6903703, 33.07298 38.6924012, 33.069565 38.6907257, 33.0686381 38.6901546, 33.066703 38.6885425, 33.0651418 38.6892153, 33.0649955 38.6894057, 33.0648003 38.6896468, 33.0635482 38.6902942, 33.0634181 38.6904211, 33.0634994 38.6905607, 33.0664915 38.6928581, 33.0655484 38.6939751, 33.0652882 38.6944701, 33.0643938 38.6949397, 33.06267 38.6960439, 33.0629627 38.6986901, 33.0660687 38.6999148, 33.0644426 38.7007144, 33.0618569 38.7015012, 33.0605234 38.7022627, 33.0574012 38.7052196, 33.0559701 38.7061206, 33.0541813 38.7076942, 33.0517908 38.7107904, 33.0506525 38.7091662, 33.0506362 38.7088109, 33.0500671 38.7083921, 33.0493678 38.7069708, 33.0479042 38.7073896, 33.0479855 38.7075673, 33.0447657 38.7130998, 33.0467046 38.7133987, 33.0478067 38.7134298, 33.0436436 38.7196851, 33.0422323 38.7198446, 33.0422161 38.7197196, 33.036342 38.7197739, 33.0366673 38.7210046, 33.0321139 38.7227301, 33.0327969 38.7248361, 33.029512 38.7252929, 33.0327644 38.7334627, 33.0313786 38.7349405, 33.0298502 38.7385352, 33.0283092 38.7397751, 33.0296651 38.7410236, 33.0292321 38.7420565, 33.0383062 38.7444918, 33.0446484 38.7397734, 33.053072 38.7439844, 33.0577229 38.7463055, 33.0622275 38.748563, 33.0669271 38.7508966, 33.0681143 38.7514039, 33.0668511 38.7540868, 33.0654164 38.7567653, 33.0645941 38.7591491, 33.0638962 38.7612054, 33.0632867 38.7620897, 33.0616165 38.7639762, 33.0574822 38.7644719, 33.0467795 38.7661657, 33.0465596 38.7700368, 33.0485152 38.774318, 33.0511372 38.7746571, 33.0517311 38.7752911, 33.0528433 38.7757589, 33.0537226 38.7738899, 33.0523578 38.7712978, 33.0534442 38.7712426, 33.054691 38.7710016, 33.0600442 38.7691731, 33.0629529 38.7680132, 33.0652105 38.7664006, 33.0672319 38.765433, 33.0686204 38.7644539, 33.0705019 38.7630295, 33.0727448 38.7614859, 33.0748487 38.7615834, 33.0781804 38.7619546, 33.0833842 38.7621195, 33.0840672 38.7623223, 33.0842948 38.7626774, 33.0838232 38.7633114, 33.0838883 38.7639454, 33.0848696 38.7646657, 33.0864739 38.7638186, 33.0839843 38.7562119, 33.0829077 38.7548997, 33.0942131 38.757154, 33.1065896 38.7595334, 33.1083206 38.7597978, 33.1100489 38.7599985, 33.1092931 38.7618262, 33.1091321 38.7623784, 33.1086493 38.7649383, 33.1268991 38.7629556, 33.1265987 38.7606466, 33.1268025 38.7605295, 33.1299703 38.7604378, 33.1333553 38.7602887, 33.1415152 38.7605007, 33.1429934 38.7605639, 33.1446655 38.7607382, 33.1511227 38.7614875, 33.1531764 38.7617236, 33.153703 38.7619524, 33.1567609 38.7637106, 33.1641342 38.7679027, 33.1828803 38.7786898, 33.1940174 38.7814301, 33.2329558 38.7918243, 33.31089 38.7658629, 33.3522912 38.7540262, 33.3488272 38.7236888, 33.3593413 38.6728587, 33.3576757 38.6624332, 33.3499085 38.5717259, 33.350596 38.5664627, 33.3453114 38.524054, 33.3378421 38.5174168, 33.3224492 38.5042823, 33.3159858 38.4991202, 33.2954 38.4840874, 33.2626058 38.4617374, 33.2541811 38.4564009, 33.2528922 38.4564594, 33.2486838 38.457454, 33.2465353 38.4576757, 33.242753 38.458387, 33.2322632 38.4368602, 33.2316343 38.4348946, 33.2042651 38.4478849, 33.149454 38.4902087, 33.1282678 38.4927796, 33.1370714 38.5107926, 33.1209112 38.5341978, 33.1193871 38.5342796, 33.1189112 38.5349071, 33.1153417 38.5352505, 33.1128536 38.5406565, 33.1069424 38.5395435, 33.1018199 38.5401859, 33.0987628 38.5401576, 33.0661394 38.5985735, 33.0314952 38.6144277, 33.0216449 38.6230238, 33.0214104 38.6229904))"
